Run_ID,Scheduler,Kernel,Avg_Latency_us,Max_Latency_us,Context_Switches,CPU_Migrations
1,EEVDF,6.17.0-19-generic,14,19640,26594,4
2,EEVDF,6.17.0-19-generic,10,19,26699,4
3,EEVDF,6.17.0-19-generic,10,275,26686,4
4,EEVDF,6.17.0-19-generic,10,164,26688,4
5,EEVDF,6.17.0-19-generic,10,56,26707,4
6,EEVDF,6.17.0-19-generic,10,20,26605,4
7,EEVDF,6.17.0-19-generic,11,33,26699,4
8,EEVDF,6.17.0-19-generic,10,19,26701,4
9,EEVDF,6.17.0-19-generic,10,69,26341,4
10,EEVDF,6.17.0-19-generic,10,20,26698,4
11,EEVDF,6.17.0-19-generic,11,70,26691,5
12,EEVDF,6.17.0-19-generic,10,128,26606,4
13,EEVDF,6.17.0-19-generic,10,276,26702,4
14,EEVDF,6.17.0-19-generic,10,20,26432,4
15,EEVDF,6.17.0-19-generic,10,30,26686,4
16,EEVDF,6.17.0-19-generic,10,163,26698,4
17,EEVDF,6.17.0-19-generic,10,355,26698,4
18,EEVDF,6.17.0-19-generic,10,449,26702,4
19,EEVDF,6.17.0-19-generic,10,21,26685,4
20,EEVDF,6.17.0-19-generic,10,390,26702,4
21,EEVDF,6.17.0-19-generic,10,18,26697,4
22,EEVDF,6.17.0-19-generic,10,17,26684,4
23,EEVDF,6.17.0-19-generic,10,159,26685,4
24,EEVDF,6.17.0-19-generic,10,640,26618,4
25,EEVDF,6.17.0-19-generic,10,250,26682,4
26,EEVDF,6.17.0-19-generic,10,27,26687,5
27,EEVDF,6.17.0-19-generic,10,420,26699,4
28,EEVDF,6.17.0-19-generic,10,598,26699,4
29,EEVDF,6.17.0-19-generic,10,101,26685,4
30,EEVDF,6.17.0-19-generic,10,322,26700,4
31,EEVDF,6.17.0-19-generic,10,17,26690,5
32,EEVDF,6.17.0-19-generic,10,20,26368,4
33,EEVDF,6.17.0-19-generic,10,22,26688,4
34,EEVDF,6.17.0-19-generic,10,20,26692,4
35,EEVDF,6.17.0-19-generic,10,35,26691,5
36,EEVDF,6.17.0-19-generic,10,372,26699,4
37,EEVDF,6.17.0-19-generic,10,51,26681,4
38,EEVDF,6.17.0-19-generic,10,20,26700,5
39,EEVDF,6.17.0-19-generic,10,389,26687,4
40,EEVDF,6.17.0-19-generic,10,470,26699,4
41,EEVDF,6.17.0-19-generic,10,20,26687,4
42,EEVDF,6.17.0-19-generic,10,416,26690,4
43,EEVDF,6.17.0-19-generic,10,162,26699,5
44,EEVDF,6.17.0-19-generic,10,25,26699,4
45,EEVDF,6.17.0-19-generic,10,385,26697,4
46,EEVDF,6.17.0-19-generic,10,362,26698,4
47,EEVDF,6.17.0-19-generic,10,142,26687,4
48,EEVDF,6.17.0-19-generic,10,620,26709,4
49,EEVDF,6.17.0-19-generic,10,199,26612,4
50,EEVDF,6.17.0-19-generic,10,15,26683,4
